codigo_br,descricao_catmat,preco_unitario,qtd_itens_comprados,fornecedor,fabricante,nome_instituicao,ano_compra,mediana_produto,razao_vs_mediana
433263,"TIRA REAGENTE, MATERIAL:PAPEL, APLICAÇÃO:QUANTITATIVO DE CLORO, CARACTERÍSTICAS ADICIONAIS:ATÉ 200 PPM",136612.9,1,CDH - CENTRO DE DIAGNOSTICO HUMANO LTDA,DIAGNOSTICA INDUSTRIA E COMERCIO LTDA,FUNDO MUNICIPAL DE SAUDE DE SANTA RITA,2022,34.075,4009.1826852531176
272824,"PRAMIPEXOL, DOSAGEM:0,125 MG",2234.32,3750,NOVARTIS BIOCIENCIAS SA,NOVARTIS BIOCIENCIAS SA,SECRETARIA DE ESTADO DA SAUDE,2020,0.66,3385.3333333333335
448841,"AMOXICILINA, PRINCÍPIO ATIVO:ASSOCIADA COM CLAVULANATO DE POTÁSSIO, CONCENTRAÇÃO:50 MG/ML + 12,5 MG/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL",37999.0,2500,LEMED COMERCIO DE MATERIAL E MEDICAMENTOS HOSPITALARES EIRELI,EMS SIGMA PHARMA LTDA,MUNICIPIO DE FAZENDA RIO GRANDE,2023,12.49,3042.3538831064852
267741,"PREDNISONA, DOSAGEM:5 MG",210.0,35,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA.,HIPOLABOR FARMACEUTICA LTDA,FUNDO ESTADUAL DE SAUDE DO ESTADO DA BAHIA,2025,0.07,2999.9999999999995
337468,"DESLORATADINA, CONCENTRAÇÃO:0,5 MG/ML, FORMA FARMACÊUTICA:XAROPE",19183.67,112,JANSSEN-CILAG FARMACEUTICA LTDA,ACHE LABORATORIOS FARMACEUTICOS SA,SECRETARIA DE ESTADO DA SAUDE,2025,8.27,2319.669891172914
449113,"MULTIVITAMINAS, COMPOSIÇÃO DE VITAMINAS:VITS: B1, B2, B3, B5, B6, B12, C, E, COMPOSIÇÃO DE SAIS MINERAIS:MINERAIS: CU, ZN, OUTROS COMPONENTES:ÁCIDO FÓLICO",179.0,48,FARMACIA PEREIRA GARCIA LTDA,COMANDO DO EXERCITO,MUNICIPIO DE PIUMHI,2022,0.07869999999999999,2274.4599745870396
267503,"ÁCIDO FÓLICO, DOSAGEM:5 MG",90.0,2,EXPRESS DISTRIBUIDORA DE MEDICAMENTOS LTDA,HIPOLABOR FARMACEUTICA LTDA,FUNDO MUNICIPAL DE SAUDE,2024,0.04,2250.0
271104,"CICLOSPORINA, CONCENTRAÇÃO:25 MG",2378.0,4221,GLAXOSMITHKLINE BRASIL LTDA,GLAXOSMITHKLINE BRASIL LTDA,SECRETARIA DE ESTADO DA SAUDE,2020,1.18,2015.2542372881358
461248,"ELETRODO USO MÉDICO, APLICAÇÃO 1:P/ MONITORIZAÇÃO CARDÍACA - ECG, MODELO:DE SUPERFÍCIE, TIPO:ADESIVO, MATERIAL SENSOR:P/ AMBIENTE RESSONÂNCIA MAGNÉTICA MRI, ADICIONAL 1:C/ GEL CONDUTOR, TAMANHOS:ADULTO, ACESSÓRIO:S/ CABO, ESTERILIDADE:USO ÚNICO",684.75,17,AGRESTEMED COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA,CMOS DRAKE DO NORDESTE S.A,FUNDO MUNICIPAL DE SAUDE,2022,0.35,1956.4285714285716
272434,"ANLODIPINO BESILATO, DOSAGEM:5 MG",57.09,36,ILG COMERCIAL LTDA,BIOLAB SANUS FARMACEUTICA LTDA,MUNICIPIO DE BROTAS,2024,0.03,1903.0000000000002
